Indice_original,Particion,Clase_real
872,train,0
873,train,0
874,train,1
875,train,1
876,train,0
877,train,0
878,test,0
879,test,1
880,test,1
881,train,0
882,train,0
883,test,0
884,train,0
885,train,0
886,test,0
887,train,1
888,train,0
889,train,1
890,train,0
